"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","163.5"
"test0.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","73.4"
"test1.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","79.3"
"test2.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","82.4"
"test3.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","79.5"
"test4.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","79.6"
"test5.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","78.6"
"test6.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","72.9"
"test7.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","76.8"
"test8.example.test","2026-06-22 12:50:38 AEST","16.51.152.19@853","NOERROR","77.7"
"test9.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","75.4"
"test10.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","80.4"
"test11.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","78.2"
"test12.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","80.3"
"test13.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","80.4"
"test14.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","73.5"
"test15.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","83.1"
"test16.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","74.1"
"test17.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","82.9"
"test18.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","77.7"
"test19.example.test","2026-06-22 12:50:39 AEST","16.51.152.19@853","NOERROR","75.9"
