Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 12:16:06 AEST,16.51.152.19@853,NOERROR,173.2
test0.example.test,2026-06-22 12:16:06 AEST,16.51.152.19@853,NOERROR,83.7
test1.example.test,2026-06-22 12:16:06 AEST,16.51.152.19@853,NOERROR,200.9
test2.example.test,2026-06-22 12:16:06 AEST,16.51.152.19@853,NOERROR,197
test3.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,153.2
test4.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,79
test5.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,181.9
test6.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,162.6
test7.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,76.5
test8.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,204.1
test9.example.test,2026-06-22 12:16:07 AEST,16.51.152.19@853,NOERROR,194.5
test10.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,156.9
test11.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,79.7
test12.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,198
test13.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,143.5
test14.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,83.4
test15.example.test,2026-06-22 12:16:08 AEST,16.51.152.19@853,NOERROR,190.8
test16.example.test,2026-06-22 12:16:09 AEST,16.51.152.19@853,NOERROR,146.1
test17.example.test,2026-06-22 12:16:09 AEST,16.51.152.19@853,NOERROR,82.9
test18.example.test,2026-06-22 12:16:09 AEST,16.51.152.19@853,NOERROR,182.5
test19.example.test,2026-06-22 12:16:09 AEST,16.51.152.19@853,NOERROR,155.9
,,,,147.655
,,,,48.4861724727023
