Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,169.6
test0.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,85.8
test1.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,85.9
test2.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,77.7
test3.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,85.3
test4.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,74.3
test5.example.test,2026-06-22 12:19:10 AEST,16.51.152.19@853,NOERROR,76.4
test6.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,75.6
test7.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,75
test8.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,82.9
test9.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,78.8
test10.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,81.9
test11.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,72.6
test12.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,79.6
test13.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,80.2
test14.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,76.6
test15.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,70.7
test16.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,76.3
test17.example.test,2026-06-22 12:19:11 AEST,16.51.152.19@853,NOERROR,109.5
test18.example.test,2026-06-22 12:19:12 AEST,16.51.152.19@853,NOERROR,91.5
test19.example.test,2026-06-22 12:19:12 AEST,16.51.152.19@853,NOERROR,76.9
,,,,80.675
,,,,8.5063366473409
