Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 11:39:51 AEST,16.51.152.19@53,NOERROR,81.4
test0.example.test,2026-06-22 11:39:51 AEST,16.51.152.19@53,NOERROR,53.8
test1.example.test,2026-06-22 11:39:51 AEST,16.51.152.19@53,NOERROR,49.8
test2.example.test,2026-06-22 11:39:51 AEST,16.51.152.19@53,NOERROR,50
test3.example.test,2026-06-22 11:39:51 AEST,16.51.152.19@53,NOERROR,60.7
test4.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,50.5
test5.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,50.7
test6.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,49.2
test7.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,53.2
test8.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,55.3
test9.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,53.6
test10.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,52.9
test11.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,53
test12.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,53.7
test13.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,50
test14.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,56.9
test15.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,52.6
test16.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,59.4
test17.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,54.9
test18.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,51.7
test19.example.test,2026-06-22 11:39:52 AEST,16.51.152.19@53,NOERROR,54.9
,,,,53.34
,,,,3.10575018482271
