Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,51.1
test0.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,27.4
test1.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,27
test2.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,28.2
test3.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,25.5
test4.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,27.5
test5.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,27.7
test6.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,23.7
test7.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,25.9
test8.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,27.4
test9.example.test,2026-06-22 11:45:24 AEST,16.51.152.19@53,NOERROR,25.6
test10.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,28.6
test11.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,25.9
test12.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,28
test13.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,28.4
test14.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,25.7
test15.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,27.6
test16.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,25.1
test17.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,26.3
test18.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,25.6
test19.example.test,2026-06-22 11:45:25 AEST,16.51.152.19@53,NOERROR,27
,,,,26.705
,,,,1.29593493988744
