Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,110.8
test0.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,46.9
test1.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,47.4
test2.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,41.8
test3.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,42.7
test4.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,40.3
test5.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,43.3
test6.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,41
test7.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,43.3
test8.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,44.7
test9.example.test,2026-07-23 00:03:44 UTC,16.50.116.56@53,NOERROR,41.4
test10.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,40.6
test11.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,40.5
test12.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,44.3
test13.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,46.9
test14.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,43.7
test15.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,40
test16.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,41.9
test17.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,43
test18.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,44.3
test19.example.test,2026-07-23 00:03:45 UTC,16.50.116.56@53,NOERROR,42.5
,,,,43.025
,,,,2.23085421449179
