Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:00:59 UTC,16.50.116.56@53,NOERROR,109.8
test0.example.test,2026-07-23 00:00:59 UTC,16.50.116.56@53,NOERROR,47.2
test1.example.test,2026-07-23 00:00:59 UTC,16.50.116.56@53,NOERROR,43.7
test2.example.test,2026-07-23 00:00:59 UTC,16.50.116.56@53,NOERROR,46.2
test3.example.test,2026-07-23 00:00:59 UTC,16.50.116.56@53,NOERROR,72.3
test4.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,48.6
test5.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,55.7
test6.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,46.7
test7.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,46.3
test8.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,46.9
test9.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,49.4
test10.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,53.4
test11.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,48.7
test12.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,45.3
test13.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,45.6
test14.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,47.5
test15.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,45.4
test16.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,45.3
test17.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,46.7
test18.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,46
test19.example.test,2026-07-23 00:01:00 UTC,16.50.116.56@53,NOERROR,41.4
,,,,48.415
,,,,6.41981103181476
