Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,108.9
test0.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,27.4
test1.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,28.5
test2.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,29.3
test3.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,27.7
test4.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,32.5
test5.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,28.9
test6.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,28
test7.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,30.9
test8.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,31.8
test9.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,30.9
test10.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,28.5
test11.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,30.2
test12.example.test,2026-07-22 23:57:58 UTC,16.50.116.56@53,NOERROR,29.1
test13.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,29.6
test14.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,27.8
test15.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,30.3
test16.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,27
test17.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,29.2
test18.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,31.4
test19.example.test,2026-07-22 23:57:59 UTC,16.50.116.56@53,NOERROR,30.2
,,,,29.46
,,,,1.54081318243254
