Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,100.3
test0.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,32.2
test1.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,29.9
test2.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,32.2
test3.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,31.1
test4.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,33.1
test5.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,33.3
test6.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,32.7
test7.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,32.8
test8.example.test,2026-07-22 23:59:22 UTC,16.50.116.56@53,NOERROR,29.6
test9.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,29.7
test10.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,31
test11.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,30.7
test12.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,35
test13.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,30.3
test14.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,31.8
test15.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,29.4
test16.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,28
test17.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,28.7
test18.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,32
test19.example.test,2026-07-22 23:59:23 UTC,16.50.116.56@53,NOERROR,31
,,,,31.225
,,,,1.74170968636537
