"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","110.3"
"test0.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","42.8"
"test1.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","43.4"
"test2.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","42.3"
"test3.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","43.3"
"test4.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","42.0"
"test5.example.test","2026-07-23 00:08:12 UTC","16.50.116.56@53","NOERROR","43.0"
"test6.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","40.7"
"test7.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","41.8"
"test8.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","39.5"
"test9.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","42.7"
"test10.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","44.3"
"test11.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","41.8"
"test12.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","40.5"
"test13.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","46.9"
"test14.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","43.2"
"test15.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","42.6"
"test16.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","45.8"
"test17.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","45.8"
"test18.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","44.3"
"test19.example.test","2026-07-23 00:08:13 UTC","16.50.116.56@53","NOERROR","40.6"
