Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:07:07 UTC,16.50.116.56@53,NOERROR,105.2
test0.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,42.6
test1.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,45.1
test2.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,43.4
test3.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,42.3
test4.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,44.1
test5.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,41.1
test6.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,44.6
test7.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,43.5
test8.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,46.5
test9.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,43.6
test10.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,44
test11.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,43.5
test12.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,41.7
test13.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,43.6
test14.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,40.2
test15.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,45.9
test16.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,42.9
test17.example.test,2026-07-23 00:07:08 UTC,16.50.116.56@53,NOERROR,45.4
test18.example.test,2026-07-23 00:07:09 UTC,16.50.116.56@53,NOERROR,46.2
test19.example.test,2026-07-23 00:07:09 UTC,16.50.116.56@53,NOERROR,42.6
,,,,43.64
,,,,1.6699826661565
