Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,126.2
test0.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,30.2
test1.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,29.2
test2.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,31.7
test3.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,28.9
test4.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,30
test5.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,31.5
test6.example.test,2026-07-23 00:06:02 UTC,16.50.116.56@53,NOERROR,33.6
test7.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,31.4
test8.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,29.1
test9.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,32
test10.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,32.8
test11.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,27.6
test12.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,59.3
test13.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,28.8
test14.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,27.4
test15.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,31.3
test16.example.test,2026-07-23 00:06:03 UTC,16.50.116.56@53,NOERROR,31.3
test17.example.test,2026-07-23 00:06:04 UTC,16.50.116.56@53,NOERROR,31.9
test18.example.test,2026-07-23 00:06:04 UTC,16.50.116.56@53,NOERROR,28.7
test19.example.test,2026-07-23 00:06:04 UTC,16.50.116.56@53,NOERROR,29.7
,,,,31.82
,,,,6.68687638508995
