Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,136.8
test0.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,53.1
test1.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,56.5
test2.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,54.3
test3.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,53.7
test4.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,58.5
test5.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,52
test6.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,57.5
test7.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,57
test8.example.test,2026-07-23 00:13:17 UTC,16.50.116.56@53,NOERROR,55.6
test9.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,58.9
test10.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,56.2
test11.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,58.6
test12.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,59.2
test13.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,57.4
test14.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,61.3
test15.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,66.5
test16.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,53
test17.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,57.6
test18.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,64.9
test19.example.test,2026-07-23 00:13:18 UTC,16.50.116.56@53,NOERROR,57.4
,,,,57.46
,,,,3.68744669899034
