Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,135.4
test0.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,58.4
test1.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,61.2
test2.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,58.8
test3.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,58.2
test4.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,55.9
test5.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,59.3
test6.example.test,2026-07-23 00:12:04 UTC,16.50.116.56@53,NOERROR,55.6
test7.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,62.7
test8.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,57.6
test9.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,54.6
test10.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,58.4
test11.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,60.2
test12.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,62.4
test13.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,57.8
test14.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,52.4
test15.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,61.2
test16.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,57.1
test17.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,59.6
test18.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,59.7
test19.example.test,2026-07-23 00:12:05 UTC,16.50.116.56@53,NOERROR,66.8
,,,,58.895
,,,,3.16584984848585
