Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,93
test0.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,40.1
test1.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,40.2
test2.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,40.4
test3.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,37
test4.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,37.7
test5.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,41.4
test6.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,39.7
test7.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,41
test8.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,38.9
test9.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,38
test10.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,40.9
test11.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,41.1
test12.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,39.9
test13.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,41.5
test14.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,37.3
test15.example.test,2026-07-22 23:55:42 UTC,16.50.116.56@53,NOERROR,39.9
test16.example.test,2026-07-22 23:55:43 UTC,16.50.116.56@53,NOERROR,44.3
test17.example.test,2026-07-22 23:55:43 UTC,16.50.116.56@53,NOERROR,36.4
test18.example.test,2026-07-22 23:55:43 UTC,16.50.116.56@53,NOERROR,42
test19.example.test,2026-07-22 23:55:43 UTC,16.50.116.56@53,NOERROR,37.9
,,,,39.78
,,,,1.96324114399472
