Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-22 23:50:08 UTC,16.50.116.56@53,NOERROR,129.8
test0.example.test,2026-07-22 23:50:08 UTC,16.50.116.56@53,NOERROR,56
test1.example.test,2026-07-22 23:50:08 UTC,16.50.116.56@53,NOERROR,57.1
test2.example.test,2026-07-22 23:50:08 UTC,16.50.116.56@53,NOERROR,55.2
test3.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,54.9
test4.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,60.9
test5.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,53.2
test6.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,51.8
test7.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,57
test8.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,53.2
test9.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,52
test10.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,56.8
test11.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,57.3
test12.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,53.7
test13.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,55.3
test14.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,55.9
test15.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,58.4
test16.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,56.5
test17.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,59
test18.example.test,2026-07-22 23:50:09 UTC,16.50.116.56@53,NOERROR,55.3
test19.example.test,2026-07-22 23:50:10 UTC,16.50.116.56@53,NOERROR,58.3
,,,,55.89
,,,,2.36262565803387
