Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-22 23:51:37 UTC,16.50.116.56@53,NOERROR,53
test0.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.1
test1.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,24.5
test2.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,25.5
test3.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,28
test4.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.6
test5.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,28
test6.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,26.7
test7.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,28.1
test8.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,26.4
test9.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.1
test10.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.9
test11.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.8
test12.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,25.5
test13.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,24.8
test14.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.2
test15.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,30.2
test16.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,24.5
test17.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,25.4
test18.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,27.8
test19.example.test,2026-07-22 23:51:38 UTC,16.50.116.56@53,NOERROR,24.7
,,,,26.74
,,,,1.5346523693452
