Linux 7.0.0-1008-aws (ip-172-31-31-224) 	07/24/26 	_x86_64_	(2 CPU)

06:21:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:21:12        all      7.88      0.00      1.97      0.00      2.96     87.19
06:21:13        all      0.00      0.00      0.50      0.00      0.00     99.50
06:21:14        all      5.50      0.00      1.50      0.00      1.00     92.00
06:21:15        all      1.00      0.00      0.50      0.00      1.00     97.51
06:21:16        all      0.00      0.00      0.00      0.00      0.00    100.00
06:21:17        all      0.50      0.00      0.50      0.00      0.50     98.51
06:21:18        all      0.00      0.00      0.00      0.00      0.50     99.50
06:21:19        all      0.00      0.00      0.50      0.00      1.00     98.51
06:21:20        all      1.00      0.00      0.50      0.00      0.00     98.51
06:21:21        all      0.00      0.00      0.00      0.00      0.00    100.00
06:21:22        all      0.00      0.00      0.50      0.00      1.00     98.50
06:21:23        all      0.50      0.00      0.00      0.00      1.00     98.51
06:21:24        all      0.00      0.00      0.50      0.00      0.00     99.50
06:21:25        all      0.50      0.00      0.00      0.00      1.00     98.50
06:21:26        all      0.00      0.00      0.50      0.00      0.00     99.50
06:21:27        all      1.49      0.00      1.00      0.00      1.99     95.52
06:21:28        all      2.46      0.00      1.97      0.00      2.46     93.10
06:21:29        all      7.92      0.00      1.98      0.00      6.93     83.17
06:21:30        all      2.51      0.00      1.01      0.00      1.51     94.97
06:21:31        all      2.48      0.00      0.99      0.00      2.97     93.56
06:21:32        all      2.02      0.00      1.52      0.00      0.00     96.46
06:21:33        all      1.98      0.00      1.49      0.00      1.98     94.55
06:21:34        all      2.55      0.00      0.51      0.00      0.00     96.94
06:21:35        all      2.46      0.00      1.48      0.00      2.46     93.60
06:21:36        all      2.51      0.00      1.01      0.50      1.51     94.47
06:21:37        all      2.96      0.00      1.48      0.00      4.93     90.64
06:21:38        all      0.49      0.00      1.47      0.00      1.96     96.08
06:21:39        all      0.98      0.00      0.00      0.00      2.94     96.08
06:21:40        all      0.00      0.00      0.00      0.00      1.00     99.00
06:21:41        all      0.50      0.00      1.00      0.00      1.00     97.51
06:21:42        all      0.50      0.00      0.00      0.00      1.49     98.02

Average:        all      1.64      0.00      0.79      0.02      1.46     96.09
