Linux 7.0.0-1008-aws (ip-172-31-20-134) 	07/24/26 	_x86_64_	(2 CPU)

16:21:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:21:21        all      2.49      0.00      1.49      0.00      0.00     96.02
16:21:22        all      0.00      0.00      0.00      0.00      0.00    100.00
16:21:23        all      0.50      0.00      0.00      0.00      0.00     99.50
16:21:24        all      0.50      0.00      0.00      0.00      0.00     99.50
16:21:25        all      0.00      0.00      0.00      0.00      0.00    100.00
16:21:26        all      2.05      0.00      1.03      0.00      0.00     96.92
16:21:27        all      5.00      0.00      2.00      0.00      0.50     92.50
16:21:28        all      9.09      0.00      3.54      0.00      0.51     86.87
16:21:29        all      4.10      0.00      1.54      0.00      0.00     94.36
16:21:30        all      4.02      0.00      2.01      0.00      0.50     93.47
16:21:31        all      4.59      0.00      2.04      0.00      0.51     92.86
16:21:32        all      4.02      0.00      2.01      0.00      2.01     91.96
16:21:33        all      5.03      0.00      2.01      0.00      0.00     92.96
16:21:34        all      3.57      0.00      1.53      0.00      0.00     94.90
16:21:35        all      4.08      0.00      2.04      0.00      0.00     93.88
16:21:36        all      4.06      0.00      1.52      0.00      0.00     94.42
16:21:37        all      2.03      0.00      0.51      0.00      0.00     97.46
16:21:38        all      0.00      0.00      0.00      0.00      0.00    100.00
16:21:39        all      0.00      0.00      0.00      0.00      0.00    100.00
16:21:40        all      0.99      0.00      0.50      0.00      0.50     98.02
16:21:41        all      0.00      0.00      0.00      0.00      0.50     99.50
16:21:42        all      0.50      0.00      1.00      0.00      0.00     98.51

Average:        all      2.57      0.00      1.12      0.00      0.23     96.08
