Linux 7.0.0-1008-aws (ip-172-31-31-224) 	07/24/26 	_x86_64_	(2 CPU)

06:31:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:31:13        all      7.04      0.00      2.01      0.00      0.00     90.95
06:31:14        all      5.03      0.00      1.01      0.00      1.51     92.46
06:31:15        all      0.99      0.00      0.50      0.00      0.99     97.52
06:31:16        all      0.00      0.00      0.50      0.00      0.00     99.50
06:31:17        all      0.50      0.00      0.00      0.00      0.50     99.00
06:31:18        all      0.00      0.00      0.50      0.00      0.50     99.00
06:31:19        all      0.50      0.00      0.50      0.00      0.00     99.00
06:31:20        all      0.00      0.00      0.00      0.00      0.50     99.50
06:31:21        all      1.00      0.00      0.50      0.00      1.49     97.01
06:31:22        all      0.00      0.00      0.00      0.00      1.00     99.00
06:31:23        all      1.00      0.00      0.50      0.00      0.00     98.51
06:31:24        all      0.00      0.00      0.00      0.00      0.50     99.50
06:31:25        all      0.50      0.00      0.00      0.00      1.00     98.50
06:31:26        all      0.50      0.00      0.00      0.00      0.50     99.00
06:31:27        all      0.00      0.00      1.00      0.00      0.00     99.00
06:31:28        all      0.50      0.00      0.00      0.00      0.50     99.00
06:31:29        all      6.40      0.00      1.97      0.00      4.93     86.70
06:31:30        all      0.50      0.00      0.00      0.00      1.01     98.49
06:31:31        all      0.50      0.00      0.50      0.00      0.50     98.51
06:31:32        all      0.00      0.00      0.00      0.00      0.00    100.00
06:31:33        all      0.50      0.00      0.99      0.00      0.50     98.02
06:31:34        all      0.50      0.00      0.00      0.00      0.00     99.50
06:31:35        all      1.00      0.00      0.50      1.00      0.50     97.01
06:31:36        all      0.00      0.00      0.00      0.00      0.00    100.00
06:31:37        all      0.50      0.00      0.50      0.00      1.00     98.01
06:31:38        all      0.00      0.00      0.00      0.00      0.00    100.00
06:31:39        all      0.50      0.00      0.50      0.00      0.99     98.02
06:31:40        all      0.50      0.00      0.00      0.00      0.50     98.99
06:31:41        all      0.00      0.00      0.50      0.00      0.50     99.00
06:31:42        all      0.50      0.00      0.00      0.00      1.00     98.51
06:31:43        all      0.50      0.00      0.00      0.00      1.00     98.50
06:31:44        all      5.56      0.00      1.52      0.00      0.00     92.93
06:31:45        all      0.50      0.00      0.00      0.00      1.00     98.51
06:31:46        all      4.00      0.00      0.50      0.00      0.50     95.00
06:31:47        all      0.49      0.00      1.48      0.00      0.49     97.54
06:31:48        all      0.00      0.00      0.00      0.00      0.00    100.00
06:31:49        all      0.00      0.00      0.00      0.00      0.50     99.50
06:31:50        all      1.00      0.00      0.00      0.00      0.50     98.50
06:31:51        all      0.00      0.00      0.51      0.00      0.00     99.49
06:31:52        all      0.50      0.00      0.50      0.00      0.00     99.00
06:31:53        all      0.50      0.00      0.00      0.00      1.00     98.51
06:31:54        all      0.00      0.00      0.00      0.00      1.01     98.99
06:31:55        all      1.00      0.00      1.00      0.00      0.00     98.01
06:31:56        all      0.00      0.00      0.00      0.00      1.00     99.00
06:31:57        all      0.00      0.00      0.00      0.00      0.50     99.50
