Linux 7.0.0-1008-aws (ip-172-31-20-134) 	07/24/26 	_x86_64_	(2 CPU)

16:31:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:31:38        all      2.01      0.00      1.51      0.00      1.01     95.48
16:31:39        all      0.00      0.00      0.00      0.00      0.00    100.00
16:31:40        all      0.50      0.00      0.99      0.00      0.50     98.02
16:31:41        all      0.50      0.00      0.00      0.00      0.00     99.50
16:31:42        all      0.00      0.00      1.00      0.00      0.00     99.00
16:31:43        all      0.50      0.00      0.00      0.00      0.50     99.00
16:31:44        all      5.10      0.00      0.51      0.00      0.00     94.39
16:31:45        all      0.50      0.00      0.50      0.00      0.00     99.00
16:31:46        all      0.50      0.00      0.50      0.00      0.50     98.51
16:31:47        all      0.00      0.00      0.00      0.00      0.00    100.00
16:31:48        all      0.00      0.00      0.00      0.00      0.00    100.00
16:31:49        all      1.01      0.00      0.00      1.01      0.00     97.99
16:31:50        all      0.00      0.00      0.00      0.00      0.00    100.00
16:31:51        all      0.50      0.00      0.50      0.00      0.50     98.51
16:31:52        all      0.50      0.00      0.00      0.00      0.50     99.00
16:31:53        all      0.00      0.00      0.50      0.00      0.00     99.50
16:31:54        all      1.00      0.00      0.00      0.00      0.50     98.50
16:31:55        all      0.00      0.00      0.50      0.00      0.50     99.00
16:31:56        all      0.00      0.00      0.00      0.00      0.50     99.50
16:31:57        all      0.50      0.00      0.00      0.00      0.00     99.50
16:31:58        all      0.00      0.00      0.00      0.00      1.00     99.00
16:31:59        all      5.05      0.00      1.52      0.00      0.00     93.43
16:32:00        all      1.00      0.00      0.50      0.00      0.00     98.51
16:32:01        all      1.51      0.00      1.01      0.00      1.01     96.48
16:32:02        all      1.00      0.00      1.00      0.00      1.00     97.00
16:32:03        all      1.02      0.00      0.51      0.00      0.00     98.48
16:32:04        all      2.03      0.00      0.51      0.00      0.51     96.95
16:32:05        all      2.01      0.00      0.50      0.00      0.00     97.49
16:32:06        all      2.02      0.00      0.51      0.00      0.51     96.97
16:32:07        all      1.01      0.00      1.01      0.00      0.00     97.98
16:32:08        all      2.03      0.00      0.51      0.00      0.00     97.46
16:32:09        all      2.01      0.00      1.01      0.00      0.00     96.98
16:32:10        all      1.52      0.00      0.51      0.00      0.00     97.97
16:32:11        all      1.01      0.00      1.51      0.00      0.00     97.49
16:32:12        all      2.02      0.00      0.51      0.51      0.00     96.97
16:32:13        all      1.02      0.00      0.51      0.00      0.00     98.47
16:32:14        all      7.54      0.00      2.01      0.00      0.50     89.95
16:32:15        all      1.51      0.00      1.01      0.00      0.00     97.49
16:32:16        all      2.03      0.00      0.51      0.00      0.00     97.46
16:32:17        all      2.01      0.00      1.01      0.00      0.00     96.98
16:32:18        all      1.52      0.00      1.01      0.00      0.51     96.97
16:32:19        all      2.54      0.00      1.02      0.51      0.00     95.94
16:32:20        all      1.01      0.00      0.50      0.00      0.00     98.49
16:32:21        all      3.54      0.00      0.00      0.00      0.00     96.46
16:32:22        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:23        all      0.00      0.00      0.50      0.00      0.50     99.00
16:32:24        all      1.00      0.00      0.00      0.00      0.00     99.00
16:32:25        all      0.00      0.00      0.50      0.00      0.00     99.50
16:32:26        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:27        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:28        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:29        all      5.56      0.00      1.01      0.00      0.00     93.43
16:32:30        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:31        all      1.00      0.00      0.00      0.00      0.00     99.00
16:32:32        all      0.00      0.00      1.00      0.00      0.00     99.00
16:32:33        all      0.50      0.00      0.00      0.00      0.50     99.00
16:32:34        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:35        all      0.00      0.00      0.50      0.00      0.00     99.50
16:32:36        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:37        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:38        all      1.01      0.00      0.00      0.00      0.00     98.99
16:32:39        all      0.00      0.00      1.00      0.00      0.00     99.00
16:32:40        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:41        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:42        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:43        all      0.50      0.00      0.00      0.00      0.50     99.00
16:32:44        all      4.55      0.00      2.02      0.00      0.00     93.43
16:32:45        all      0.50      0.00      0.50      0.00      0.00     99.00
16:32:46        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:47        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:48        all      0.00      0.00      0.50      0.00      0.50     99.00
16:32:49        all      0.50      0.00      0.50      0.50      0.00     98.49
16:32:50        all      0.50      0.00      0.50      0.00      0.00     99.00
16:32:51        all      0.00      0.00      0.50      0.00      0.00     99.50
16:32:52        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:53        all      0.50      0.00      0.00      0.00      0.00     99.50
16:32:54        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:55        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:56        all      1.00      0.00      0.50      0.00      0.00     98.51
16:32:57        all      0.00      0.00      0.50      0.00      0.00     99.50
16:32:58        all      0.00      0.00      0.00      0.00      0.00    100.00
16:32:59        all      5.03      0.00      1.01      0.00      0.00     93.97
16:33:00        all      0.50      0.00      0.00      0.00      0.50     99.00
16:33:01        all      0.51      0.00      0.00      0.00      0.00     99.49
16:33:02        all      0.00      0.00      0.00      0.00      0.50     99.50
16:33:03        all      0.00      0.00      0.50      0.00      0.50     98.99
16:33:04        all      1.00      0.00      0.00      0.00      0.00     99.00
16:33:05        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:06        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:07        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:08        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:09        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:10        all      1.00      0.00      0.50      0.00      0.00     98.51
16:33:11        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:12        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:13        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:14        all      5.05      0.00      0.51      0.51      0.00     93.94
16:33:15        all      0.50      0.00      0.50      0.00      0.00     99.00
16:33:16        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:17        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:18        all      0.00      0.00      0.00      0.00      0.50     99.50
16:33:19        all      1.01      0.00      0.00      0.50      0.00     98.49
16:33:20        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:21        all      1.00      0.00      0.00      0.00      0.00     99.00
16:33:22        all      0.00      0.00     17.17      1.52      0.51     80.81
16:33:23        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:24        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:25        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:26        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:27        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:28        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:29        all      4.52      0.00      1.51      0.00      0.00     93.97
16:33:30        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:31        all      0.50      0.00      0.50      0.00      0.00     99.00
16:33:32        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:33        all      0.00      0.00      0.00      0.00      1.49     98.51
16:33:34        all      0.00      0.00      0.50      0.00      0.00     99.50
16:33:35        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:36        all      0.50      0.00      0.50      0.00      0.00     99.00
16:33:37        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:38        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:39        all      0.00      0.00      0.00      0.00      0.00    100.00
16:33:40        all      0.50      0.00      0.00      0.00      0.00     99.50
16:33:41        all      0.50      0.00      0.50      0.00      0.00     99.00

Average:        all      0.87      0.00      0.50      0.04      0.13     98.46
