Linux 7.0.0-1008-aws (ip-172-31-31-224) 	07/24/26 	_x86_64_	(2 CPU)

06:38:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:38:01        all      8.13      0.00      1.91      0.00      7.18     82.78
06:38:02        all      0.00      0.00      0.00      0.00     13.70     86.30
06:38:03        all      0.48      0.00      0.97      0.00      3.38     95.17
06:38:04        all      0.00      0.00      0.00      0.00      0.51     99.49
06:38:05        all      1.00      0.00      0.50      0.50      0.50     97.51
06:38:06        all      0.50      0.00      0.50      0.00      0.50     98.51
06:38:07        all      0.00      0.00      0.00      0.00      0.50     99.50
06:38:08        all      1.00      0.00      0.00      0.00      0.00     99.00
06:38:09        all      0.00      0.00      0.50      0.00      1.01     98.49
06:38:10        all      0.00      0.00      0.00      0.00      1.00     99.00
06:38:11        all      0.50      0.00      0.50      0.00      0.00     99.00
06:38:12        all      0.50      0.00      0.50      0.00      0.99     98.02
06:38:13        all      0.00      0.00      0.00      0.00      0.00    100.00
06:38:14        all      7.00      0.00      1.50      0.00      1.00     90.50
06:38:15        all      0.00      0.00      0.50      0.00      1.00     98.51
06:38:16        all      0.00      0.00      0.00      0.00      0.00    100.00
06:38:17        all      0.00      0.00      1.00      0.00      0.50     98.51
06:38:18        all      0.00      0.00      0.00      0.00      0.50     99.50
06:38:19        all      0.99      0.00      0.50      0.00      0.50     98.02
06:38:20        all      0.00      0.00      0.00      0.00      0.00    100.00
06:38:21        all      0.00      0.00      0.00      0.00      0.00    100.00
06:38:22        all      0.49      0.00      0.99      0.00      0.99     97.54
06:38:23        all      0.50      0.00      0.00      0.00      1.00     98.51
06:38:24        all      1.01      0.00      0.00      0.00      0.00     98.99
06:38:25        all      0.00      0.00      0.00      0.00      1.00     99.00
06:38:26        all      0.00      0.00      0.00      0.00      1.00     99.00
06:38:27        all      0.00      0.00      0.51      0.00      0.00     99.49
06:38:28        all      0.00      0.00      0.50      0.00      1.00     98.51
06:38:29        all      7.39      0.00      1.48      0.00      4.43     86.70
06:38:30        all      0.50      0.00      1.01      0.00      1.01     97.49
06:38:31        all      1.00      0.00      1.00      0.00      1.00     97.01
06:38:32        all      0.50      0.00      0.50      0.00      2.00     97.00
06:38:33        all      1.00      0.00      0.00      0.00      1.00     98.00
06:38:34        all      0.99      0.00      0.99      0.00      3.47     94.55
06:38:35        all      1.47      0.00      0.98      0.49      2.94     94.12
06:38:36        all      0.50      0.00      1.00      0.00      1.50     97.00
06:38:37        all      1.00      0.00      0.50      0.00      1.00     97.50
06:38:38        all      0.49      0.00      0.99      0.00      3.94     94.58
06:38:39        all      0.51      0.00      0.51      0.00      1.01     97.98
06:38:40        all      0.98      0.00      0.49      0.00      3.92     94.61
06:38:41        all      0.50      0.00      1.00      0.50      1.49     96.52
06:38:42        all      0.00      0.00      0.99      0.00      0.99     98.02
06:38:43        all      0.50      0.00      0.00      0.00      0.00     99.50
06:38:44        all      4.52      0.00      2.01      0.00      1.01     92.46
06:38:45        all      0.99      0.00      0.00      0.00      0.99     98.02

Average:        all      1.01      0.00      0.54      0.03      1.58     96.84
