Linux 7.0.0-1008-aws (ip-172-31-20-134) 	07/24/26 	_x86_64_	(2 CPU)

16:38:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:38:12        all      1.51      0.00      2.01      0.00      0.00     96.48
16:38:13        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:14        all      6.06      0.00      1.01      0.00      0.00     92.93
16:38:15        all      0.50      0.00      0.00      0.00      0.00     99.50
16:38:16        all      0.00      0.00      0.50      0.00      0.50     99.00
16:38:17        all      0.00      0.00      0.00      0.00      0.51     99.49
16:38:18        all      0.00      0.00      0.50      0.00      0.50     98.99
16:38:19        all      1.00      0.00      0.00      1.00      0.00     98.01
16:38:20        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:21        all      4.02      0.00      0.50      0.00      0.00     95.48
16:38:22        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:23        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:24        all      0.50      0.00      0.00      0.00      0.00     99.50
16:38:25        all      0.50      0.00      0.50      0.00      0.00     99.00
16:38:26        all      0.50      0.00      0.00      0.00      0.00     99.50
16:38:27        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:28        all      0.00      0.00      0.00      0.00      0.00    100.00
16:38:29        all      6.06      0.00      1.52      0.00      0.00     92.42
16:38:30        all      1.01      0.00      1.01      0.00      0.51     97.47
16:38:31        all      1.52      0.00      1.01      0.00      0.00     97.47
16:38:32        all      0.51      0.00      0.51      0.00      0.51     98.48
16:38:33        all      2.00      0.00      1.50      0.00      0.00     96.50
16:38:34        all      0.51      0.00      1.01      0.00      0.00     98.48
16:38:35        all      1.52      0.00      0.51      0.00      0.00     97.98
16:38:36        all      1.02      0.00      0.51      0.00      0.00     98.48
16:38:37        all      1.00      0.00      1.50      0.00      0.00     97.50
16:38:38        all      1.02      0.00      1.02      0.00      0.00     97.96
16:38:39        all      1.02      0.00      0.00      0.00      0.00     98.98
16:38:40        all      1.50      0.00      1.00      0.00      0.50     97.00
16:38:41        all      1.52      0.00      0.51      0.00      0.00     97.97
16:38:42        all      0.50      0.00      0.50      0.00      0.00     99.00
16:38:43        all      0.00      0.00      0.00      0.00      0.50     99.50
16:38:44        all      5.05      0.00      1.01      0.00      0.00     93.94
16:38:45        all      0.50      0.00      0.00      0.00      0.00     99.50
16:38:46        all      0.50      0.00      1.00      0.00      0.00     98.51

Average:        all      1.18      0.00      0.55      0.03      0.10     98.15
