Linux 7.0.0-1008-aws (ip-172-31-31-224) 	07/24/26 	_x86_64_	(2 CPU)

06:35:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:35:20        all      7.07      0.00      1.52      0.00      0.51     90.91
06:35:21        all      1.00      0.00      0.50      0.00      0.50     98.01
06:35:22        all      0.50      0.00      0.50      0.00      0.50     98.51
06:35:23        all      0.00      0.00      0.00      0.00      0.00    100.00
06:35:24        all      0.50      0.00      0.00      0.00      0.50     99.00
06:35:25        all      0.50      0.00      0.00      0.00      0.00     99.50
06:35:26        all      0.00      0.00      0.50      0.00      1.00     98.51
06:35:27        all      0.00      0.00      0.51      0.00      0.00     99.49
06:35:28        all      4.43      0.00      1.48      0.00      1.97     92.12
06:35:29        all      2.53      0.00      0.00      0.00      0.51     96.97
06:35:30        all      0.50      0.00      0.50      0.00      1.00     98.01
06:35:31        all      0.99      0.00      0.50      0.00      0.00     98.51
06:35:32        all      0.00      0.00      0.00      0.00      1.01     98.99
06:35:33        all      0.00      0.00      0.51      0.00      0.00     99.49
06:35:34        all      0.99      0.00      0.99      0.00      0.49     97.54
06:35:35        all      1.50      0.00      0.00      1.00      2.00     95.50
06:35:36        all      0.99      0.00      0.99      0.00      1.97     96.06
06:35:37        all      0.00      0.00      0.50      0.00      1.00     98.51
06:35:38        all      0.00      0.00      0.00      0.00      1.50     98.50
06:35:39        all      0.50      0.00      0.50      0.00      0.50     98.50
06:35:40        all      0.50      0.00      0.00      0.00      0.50     99.00
06:35:41        all      0.50      0.00      0.50      0.00      0.99     98.02
06:35:42        all      0.00      0.00      0.00      0.00      1.01     98.99
06:35:43        all      4.04      0.00      1.01      0.00      0.51     94.44
06:35:44        all      2.46      0.00      0.49      0.00      1.97     95.07
06:35:45        all      0.00      0.00      0.00      0.00      1.00     99.00
06:35:46        all      3.98      0.00      0.50      0.00      1.00     94.53
06:35:47        all      0.00      0.00      0.50      0.00      0.00     99.50
06:35:48        all      0.00      0.00      0.00      0.00      0.50     99.50
06:35:49        all      0.50      0.00      1.00      0.00      0.00     98.51
06:35:50        all      0.50      0.00      0.00      0.00      0.00     99.50
06:35:51        all      0.50      0.00      0.99      0.00      0.99     97.52
06:35:52        all      0.00      0.00      0.00      0.00      1.49     98.51
06:35:53        all      0.00      0.00      0.00      0.00      0.51     99.49
06:35:54        all      1.00      0.00      0.00      0.00      0.50     98.50
06:35:55        all      0.00      0.00      0.00      0.00      1.00     99.00
06:35:56        all      0.00      0.00      0.00      0.00      1.50     98.50
06:35:57        all      1.00      0.00      1.00      0.00      0.00     98.00
06:35:58        all      4.02      0.00      1.51      0.00      2.01     92.46
06:35:59        all      2.04      0.00      1.53      0.00      0.51     95.92
06:36:00        all      0.95      0.00      1.90      0.00      5.71     91.43
06:36:01        all      0.47      0.00      0.93      0.00     12.56     86.05
06:36:02        all      0.90      0.00      0.00      0.00     15.38     83.71
06:36:03        all      0.95      0.00      1.43      0.00      7.62     90.00
06:36:04        all      1.02      0.00      0.51      0.00      0.00     98.48
06:36:05        all      0.99      0.00      0.99      0.50      2.97     94.55
06:36:06        all      1.97      0.00      0.99      0.00      2.96     94.09
06:36:07        all      0.50      0.00      0.50      0.00      2.50     96.50
06:36:08        all      0.99      0.00      1.97      0.00      1.48     95.57
06:36:09        all      1.02      0.00      0.00      0.00      1.02     97.97
06:36:10        all      1.00      0.00      1.00      0.00      1.99     96.02
06:36:11        all      0.00      0.00      0.00      0.00      0.50     99.50
06:36:12        all      0.00      0.00      0.50      0.00      0.50     98.99
06:36:13        all      5.45      0.00      1.49      0.50      0.99     91.58
06:36:14        all      2.01      0.00      0.00      0.00      1.01     96.98
06:36:15        all      0.50      0.00      0.00      0.00      1.49     98.01

Average:        all      1.10      0.00      0.55      0.04      1.65     96.66
