Linux 7.0.0-1008-aws (ip-172-31-20-134) 	07/24/26 	_x86_64_	(2 CPU)

16:35:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:35:39        all      2.01      0.00      1.51      0.00      0.00     96.48
16:35:40        all      0.00      0.00      0.50      0.00      0.00     99.50
16:35:41        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:42        all      0.50      0.00      0.00      0.00      0.00     99.50
16:35:43        all      0.50      0.00      0.50      0.00      0.50     98.51
16:35:44        all      4.59      0.00      0.51      0.00      0.00     94.90
16:35:45        all      1.00      0.00      0.00      0.00      0.00     99.00
16:35:46        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:47        all      0.50      0.00      1.00      0.00      0.00     98.50
16:35:48        all      0.00      0.00      0.00      0.00      0.50     99.50
16:35:49        all      1.01      0.00      0.00      0.50      0.00     98.49
16:35:50        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:51        all      0.00      0.00      1.00      0.00      0.00     99.00
16:35:52        all      1.00      0.00      0.00      0.00      0.00     99.00
16:35:53        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:54        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:55        all      0.50      0.00      0.00      0.00      0.00     99.50
16:35:56        all      0.00      0.00      0.00      0.00      0.00    100.00
16:35:57        all      0.50      0.00      0.50      0.00      0.00     99.00
16:35:58        all      1.51      0.00      1.01      0.00      0.00     97.49
16:35:59        all      5.58      0.00      2.03      0.00      0.00     92.39
16:36:00        all      0.50      0.00      1.50      0.00      1.00     97.00
16:36:01        all      1.02      0.00      0.51      0.00      0.00     98.48
16:36:02        all      0.51      0.00      1.02      0.00      0.00     98.48
16:36:03        all      1.49      0.00      0.50      0.00      0.50     97.51
16:36:04        all      0.50      0.00      1.01      0.00      0.50     97.99
16:36:05        all      1.52      0.00      0.51      0.00      0.00     97.98
16:36:06        all      1.01      0.00      1.01      0.00      0.00     97.98
16:36:07        all      1.51      0.00      1.01      0.00      0.00     97.49
16:36:08        all      1.02      0.00      0.51      0.00      0.00     98.48
16:36:09        all      1.52      0.00      0.00      0.00      0.00     98.48
16:36:10        all      1.01      0.00      1.01      0.00      0.00     97.98
16:36:11        all      0.51      0.00      0.51      0.00      0.00     98.98
16:36:12        all      1.00      0.00      0.50      0.00      0.00     98.51
16:36:13        all      0.00      0.00      0.00      0.00      0.00    100.00
16:36:14        all      5.00      0.00      1.50      0.00      0.00     93.50
16:36:15        all      0.00      0.00      0.00      0.00      0.00    100.00
16:36:16        all      0.00      0.00      0.00      0.00      0.00    100.00
16:36:17        all      1.01      0.00      0.00      0.00      0.00     98.99

Average:        all      0.98      0.00      0.50      0.01      0.08     98.43
