"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","111.6"
"test0.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","42.9"
"test1.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","47.0"
"test2.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","45.0"
"test3.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","45.0"
"test4.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","47.0"
"test5.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","44.1"
"test6.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","42.8"
"test7.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","45.5"
"test8.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","41.9"
"test9.example.test","2026-07-24 06:21:26 UTC","16.51.99.185@853","NOERROR","43.8"
"test10.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","48.0"
"test11.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","43.8"
"test12.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","44.5"
"test13.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","50.0"
"test14.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","43.2"
"test15.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","42.1"
"test16.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","45.1"
"test17.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","42.4"
"test18.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","44.1"
"test19.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","46.7"
"test20.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","42.2"
"test21.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","46.3"
"test22.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","45.6"
"test23.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","46.5"
"test24.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","43.5"
"test25.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","42.9"
"test26.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","45.5"
"test27.example.test","2026-07-24 06:21:27 UTC","16.51.99.185@853","NOERROR","44.6"
"test28.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","46.3"
"test29.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","42.1"
"test30.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","47.5"
"test31.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","45.8"
"test32.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","45.6"
"test33.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","43.5"
"test34.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","43.1"
"test35.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","48.9"
"test36.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","45.1"
"test37.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","44.8"
"test38.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","46.9"
"test39.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","41.8"
"test40.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","46.8"
"test41.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","47.5"
"test42.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","48.7"
"test43.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","51.6"
"test44.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","41.1"
"test45.example.test","2026-07-24 06:21:28 UTC","16.51.99.185@853","NOERROR","46.4"
"test46.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","44.0"
"test47.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","43.1"
"test48.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","42.3"
"test49.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","48.4"
"test50.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","46.2"
"test51.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","44.9"
"test52.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","44.5"
"test53.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","48.2"
"test54.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","41.1"
"test55.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","42.7"
"test56.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","43.6"
"test57.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","43.5"
"test58.example.test","2026-07-24 06:21:29 UTC","16.51.99.185@853","NOERROR","42.5"
