"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","175.1"
"test0.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","86.3"
"test1.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","81.1"
"test2.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","84.2"
"test3.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","80.8"
"test4.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","89.2"
"test5.example.test","2026-07-24 06:32:00 UTC","16.51.99.185@8853","NOERROR","83.7"
"test6.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","99.9"
"test7.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","110.9"
"test8.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","83.2"
"test9.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","86.0"
"test10.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","93.7"
"test11.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","97.6"
"test12.example.test","2026-07-24 06:32:01 UTC","16.51.99.185@8853","NOERROR","91.4"
"test13.example.test","2026-07-24 06:32:02 UTC","16.51.99.185@8853","NOERROR","112.8"
"test14.example.test","2026-07-24 06:32:02 UTC","16.51.99.185@8853","NOERROR","79.4"
"test15.example.test","2026-07-24 06:32:02 UTC","16.51.99.185@8853","NOERROR","80.5"
"test16.example.test","2026-07-24 06:32:02 UTC","16.51.99.185@8853","NOERROR","90.9"
"test17.example.test","2026-07-24 06:32:02 UTC","16.51.99.185@8853","NOERROR","91.1"
"test18.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","89.3"
"test19.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","77.4"
"test20.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","88.2"
"test21.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","92.5"
"test22.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","80.1"
"test23.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","82.8"
"test24.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","83.9"
"test25.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","78.6"
"test26.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","87.3"
"test27.example.test","2026-07-24 06:32:03 UTC","16.51.99.185@8853","NOERROR","77.7"
"test28.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","73.3"
"test29.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","80.4"
"test30.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","79.2"
"test31.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","82.7"
"test32.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","79.0"
"test33.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","72.5"
"test34.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","78.0"
"test35.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","77.7"
"test36.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","73.1"
"test37.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","74.3"
"test38.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","77.7"
"test39.example.test","2026-07-24 06:32:04 UTC","16.51.99.185@8853","NOERROR","80.9"
"test40.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","84.0"
"test41.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","83.9"
"test42.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","82.4"
"test43.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","83.7"
"test44.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","80.1"
"test45.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","78.6"
"test46.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","86.3"
"test47.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","78.6"
"test48.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","75.0"
"test49.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","85.7"
"test50.example.test","2026-07-24 06:32:05 UTC","16.51.99.185@8853","NOERROR","85.3"
"test51.example.test","2026-07-24 06:32:06 UTC","16.51.99.185@8853","NOERROR","76.6"
"test52.example.test","2026-07-24 06:32:06 UTC","16.51.99.185@8853","NOERROR","79.3"
