"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","102.1"
"test0.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","58.7"
"test1.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","59.0"
"test2.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","52.1"
"test3.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","49.1"
"test4.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","48.5"
"test5.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","54.8"
"test6.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","50.3"
"test7.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","50.0"
"test8.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","53.0"
"test9.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","54.4"
"test10.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","47.0"
"test11.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","55.6"
"test12.example.test","2026-07-24 06:38:29 UTC","16.51.99.185@53","NOERROR","47.4"
"test13.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","48.7"
"test14.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","53.2"
"test15.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","47.9"
"test16.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","54.9"
"test17.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","46.9"
"test18.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","52.9"
"test19.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","49.3"
"test20.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","55.5"
"test21.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","48.2"
"test22.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","51.1"
"test23.example.test","2026-07-24 06:38:30 UTC","16.51.99.185@53","NOERROR","47.9"
