"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","79.3"
"test0.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","57.0"
"test1.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","56.2"
"test2.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","56.5"
"test3.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","62.6"
"test4.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","53.0"
"test5.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","57.4"
"test6.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","54.4"
"test7.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","59.3"
"test8.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","55.2"
"test9.example.test","2026-06-30 16:33:45 AEST","16.50.205.100@53","NOERROR","60.8"
"test10.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","54.8"
"test11.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","52.4"
"test12.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","58.3"
"test13.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","58.6"
"test14.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","58.2"
"test15.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","56.3"
"test16.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","56.4"
"test17.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","59.5"
"test18.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","51.1"
"test19.example.test","2026-06-30 16:33:46 AEST","16.50.205.100@53","NOERROR","57.6"
