"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","51.5"
"test0.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","52.7"
"test1.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","52.2"
"test2.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","50.6"
"test3.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","56.7"
"test4.example.test","2026-07-17 00:23:10 UTC","16.26.83.52@53","NOERROR","59.7"
"test5.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","51.9"
"test6.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","52.6"
"test7.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","56.9"
"test8.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","53.8"
"test9.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","57.0"
"test10.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","52.5"
"test11.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","58.4"
"test12.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","55.5"
"test13.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","50.4"
"test14.example.test","2026-07-17 00:23:11 UTC","16.26.83.52@53","NOERROR","51.5"
"test15.example.test","2026-07-17 00:23:12 UTC","16.26.83.52@53","NOERROR","52.8"
"test16.example.test","2026-07-17 00:23:12 UTC","16.26.83.52@53","NOERROR","53.2"
"test17.example.test","2026-07-17 00:23:12 UTC","16.26.83.52@53","NOERROR","54.5"
"test18.example.test","2026-07-17 00:23:12 UTC","16.26.83.52@53","NOERROR","54.9"
"test19.example.test","2026-07-17 00:23:12 UTC","16.26.83.52@53","NOERROR","52.6"
