"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:25:13 UTC","16.26.83.52@53","NOERROR","57.5"
"test0.example.test","2026-07-17 00:25:13 UTC","16.26.83.52@53","NOERROR","60.7"
"test1.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","60.6"
"test2.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","58.9"
"test3.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","61.1"
"test4.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","58.9"
"test5.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","57.0"
"test6.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","57.8"
"test7.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","58.3"
"test8.example.test","2026-07-17 00:25:14 UTC","16.26.83.52@53","NOERROR","57.6"
"test9.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","59.7"
"test10.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","58.9"
"test11.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","56.6"
"test12.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","55.6"
"test13.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","58.7"
"test14.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","60.1"
"test15.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","61.1"
"test16.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","56.3"
"test17.example.test","2026-07-17 00:25:15 UTC","16.26.83.52@53","NOERROR","55.9"
"test18.example.test","2026-07-17 00:25:16 UTC","16.26.83.52@53","NOERROR","62.7"
"test19.example.test","2026-07-17 00:25:16 UTC","16.26.83.52@53","NOERROR","55.2"
