"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","97.7"
"test0.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","29.7"
"test1.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.1"
"test2.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","26.4"
"test3.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.4"
"test4.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","26.4"
"test5.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.9"
"test6.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.0"
"test7.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","33.0"
"test8.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.9"
"test9.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","31.7"
"test10.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","31.3"
"test11.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","26.8"
"test12.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","30.0"
"test13.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.6"
"test14.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","29.8"
"test15.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","26.9"
"test16.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","32.9"
"test17.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","29.9"
"test18.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","27.5"
"test19.example.test","2026-07-17 00:28:05 UTC","16.26.83.52@53","NOERROR","28.6"
