"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","141.7"
"test0.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","57.1"
"test1.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","55.6"
"test2.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","49.4"
"test3.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","51.9"
"test4.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","55.2"
"test5.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","53.6"
"test6.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","52.3"
"test7.example.test","2026-07-17 00:37:06 UTC","16.26.83.52@53","NOERROR","50.3"
"test8.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","49.4"
"test9.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","53.1"
"test10.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","52.1"
"test11.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","57.9"
"test12.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","56.8"
"test13.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","59.3"
"test14.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","54.4"
"test15.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","50.1"
"test16.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","52.7"
"test17.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","54.8"
"test18.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","55.9"
"test19.example.test","2026-07-17 00:37:07 UTC","16.26.83.52@53","NOERROR","51.2"
