"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","140.1"
"test0.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","52.0"
"test1.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","51.0"
"test2.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","59.2"
"test3.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","49.1"
"test4.example.test","2026-07-17 00:48:09 UTC","16.26.83.52@53","NOERROR","60.6"
"test5.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","49.8"
"test6.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","53.6"
"test7.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","51.0"
"test8.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","54.7"
"test9.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","56.6"
"test10.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","57.3"
"test11.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","50.4"
"test12.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","53.4"
"test13.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","48.6"
"test14.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","48.9"
"test15.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","51.9"
"test16.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","52.5"
"test17.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","55.3"
"test18.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","51.6"
"test19.example.test","2026-07-17 00:48:10 UTC","16.26.83.52@53","NOERROR","54.2"
