"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:45:57 UTC","16.26.83.52@53","NOERROR","133.0"
"test0.example.test","2026-07-17 00:45:57 UTC","16.26.83.52@53","NOERROR","51.2"
"test1.example.test","2026-07-17 00:45:57 UTC","16.26.83.52@53","NOERROR","51.7"
"test2.example.test","2026-07-17 00:45:57 UTC","16.26.83.52@53","NOERROR","50.1"
"test3.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","51.9"
"test4.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","55.0"
"test5.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","52.7"
"test6.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","51.2"
"test7.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","51.5"
"test8.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","57.3"
"test9.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","52.2"
"test10.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","53.9"
"test11.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","52.2"
"test12.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","55.0"
"test13.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","56.6"
"test14.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","54.7"
"test15.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","49.2"
"test16.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","54.0"
"test17.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","52.1"
"test18.example.test","2026-07-17 00:45:58 UTC","16.26.83.52@53","NOERROR","54.4"
"test19.example.test","2026-07-17 00:45:59 UTC","16.26.83.52@53","NOERROR","55.5"
