"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 00:47:06 UTC","16.26.83.52@53","NOERROR","133.2"
"test0.example.test","2026-07-17 00:47:06 UTC","16.26.83.52@53","NOERROR","49.4"
"test1.example.test","2026-07-17 00:47:06 UTC","16.26.83.52@53","NOERROR","50.8"
"test2.example.test","2026-07-17 00:47:06 UTC","16.26.83.52@53","NOERROR","52.1"
"test3.example.test","2026-07-17 00:47:06 UTC","16.26.83.52@53","NOERROR","55.0"
"test4.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","49.9"
"test5.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","55.5"
"test6.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","52.3"
"test7.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","52.1"
"test8.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","50.3"
"test9.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","50.9"
"test10.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","48.7"
"test11.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","50.1"
"test12.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","51.0"
"test13.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","53.5"
"test14.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","53.2"
"test15.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","50.6"
"test16.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","49.8"
"test17.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","49.0"
"test18.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","55.3"
"test19.example.test","2026-07-17 00:47:07 UTC","16.26.83.52@53","NOERROR","49.5"
