"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","94.0"
"test0.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","42.6"
"test1.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","39.3"
"test2.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","38.9"
"test3.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","36.1"
"test4.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","42.2"
"test5.example.test","2026-07-16 23:23:14 UTC","16.26.83.52@53","NOERROR","42.5"
"test6.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","40.4"
"test7.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","40.0"
"test8.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","41.5"
"test9.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","37.2"
"test10.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","41.7"
"test11.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","38.0"
"test12.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","35.9"
"test13.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","37.0"
"test14.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","39.0"
"test15.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","37.4"
"test16.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","39.4"
"test17.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","40.3"
"test18.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","37.8"
"test19.example.test","2026-07-16 23:23:15 UTC","16.26.83.52@53","NOERROR","37.9"
