"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","78.6"
"test0.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","51.9"
"test1.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","50.7"
"test2.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","49.7"
"test3.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","53.4"
"test4.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","52.6"
"test5.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","48.5"
"test6.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","51.9"
"test7.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","50.1"
"test8.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","51.3"
"test9.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","53.7"
"test10.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","57.2"
"test11.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","50.5"
"test12.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","53.4"
"test13.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","50.9"
"test14.example.test","2026-07-16 23:15:35 UTC","16.26.83.52@53","NOERROR","56.7"
"test15.example.test","2026-07-16 23:15:36 UTC","16.26.83.52@53","NOERROR","54.6"
"test16.example.test","2026-07-16 23:15:36 UTC","16.26.83.52@53","NOERROR","49.9"
"test17.example.test","2026-07-16 23:15:36 UTC","16.26.83.52@53","NOERROR","51.1"
"test18.example.test","2026-07-16 23:15:36 UTC","16.26.83.52@53","NOERROR","49.8"
"test19.example.test","2026-07-16 23:15:36 UTC","16.26.83.52@53","NOERROR","53.0"
