"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","51.3"
"test0.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.1"
"test1.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.2"
"test2.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.5"
"test3.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","24.8"
"test4.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.4"
"test5.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","26.1"
"test6.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","29.2"
"test7.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","23.5"
"test8.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","26.0"
"test9.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","25.8"
"test10.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.4"
"test11.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","25.9"
"test12.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","24.0"
"test13.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","27.6"
"test14.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","26.1"
"test15.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","24.7"
"test16.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","25.5"
"test17.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","28.1"
"test18.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","25.6"
"test19.example.test","2026-07-16 23:19:22 UTC","16.26.83.52@53","NOERROR","28.5"
