"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","231.1"
"test0.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","62.1"
"test1.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","56.5"
"test2.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","55.8"
"test3.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","55.4"
"test4.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","58.4"
"test5.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","58.6"
"test6.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","58.1"
"test7.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","57.6"
"test8.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","57.5"
"test9.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","62.2"
"test10.example.test","2026-07-09 01:32:24 UTC","16.26.240.107@853","NOERROR","56.0"
"test11.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","54.4"
"test12.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","54.9"
"test13.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","55.9"
"test14.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","58.4"
"test15.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","54.3"
"test16.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","57.6"
"test17.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","57.6"
"test18.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","59.9"
"test19.example.test","2026-07-09 01:32:25 UTC","16.26.240.107@853","NOERROR","58.1"
