"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","128.5"
"test0.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","52.5"
"test1.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","48.8"
"test2.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","54.2"
"test3.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","50.7"
"test4.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","50.5"
"test5.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","51.1"
"test6.example.test","2026-07-09 01:29:54 UTC","16.26.240.107@53","NOERROR","51.3"
"test7.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","49.4"
"test8.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","53.3"
"test9.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","51.7"
"test10.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","53.4"
"test11.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","49.6"
"test12.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","49.9"
"test13.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","52.9"
"test14.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","51.5"
"test15.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","48.4"
"test16.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","53.0"
"test17.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","48.9"
"test18.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","51.2"
"test19.example.test","2026-07-09 01:29:55 UTC","16.26.240.107@53","NOERROR","48.3"
