"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:51:35 UTC","16.26.83.210@853","NOERROR","114.8"
"test0.example.test","2026-07-07 04:51:35 UTC","16.26.83.210@853","NOERROR","63.5"
"test1.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","60.8"
"test2.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","60.9"
"test3.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","58.5"
"test4.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","57.4"
"test5.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","58.1"
"test6.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","63.7"
"test7.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","61.7"
"test8.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","60.0"
"test9.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","56.1"
"test10.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","57.2"
"test11.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","64.2"
"test12.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","54.0"
"test13.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","56.6"
"test14.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","58.9"
"test15.example.test","2026-07-07 04:51:36 UTC","16.26.83.210@853","NOERROR","56.2"
"test16.example.test","2026-07-07 04:51:37 UTC","16.26.83.210@853","NOERROR","56.8"
"test17.example.test","2026-07-07 04:51:37 UTC","16.26.83.210@853","NOERROR","59.5"
"test18.example.test","2026-07-07 04:51:37 UTC","16.26.83.210@853","NOERROR","63.3"
"test19.example.test","2026-07-07 04:51:37 UTC","16.26.83.210@853","NOERROR","58.4"
