Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,113.9
test0.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,55.9
test1.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,69.4
test2.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,71.2
test3.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,56.5
test4.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,54.7
test5.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,72.8
test6.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,65.7
test7.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,72.4
test8.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,68.5
test9.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,64.5
test10.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,69.5
test11.example.test,2026-07-07 07:48:54 UTC,16.26.83.210@853,NOERROR,57.9
test12.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,75.3
test13.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,70.1
test14.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,72.9
test15.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,73
test16.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,61.2
test17.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,68.7
test18.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,71.2
test19.example.test,2026-07-07 07:48:55 UTC,16.26.83.210@853,NOERROR,54.1
,,,,66.275
,,,,6.99465021133633
