"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","112.7"
"test0.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","58.6"
"test1.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","54.3"
"test2.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","55.4"
"test3.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","52.5"
"test4.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","62.5"
"test5.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","59.6"
"test6.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","56.8"
"test7.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","62.8"
"test8.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","62.8"
"test9.example.test","2026-07-07 06:25:33 UTC","16.26.83.210@853","NOERROR","56.2"
"test10.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","55.9"
"test11.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","57.5"
"test12.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","58.0"
"test13.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","56.0"
"test14.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","54.8"
"test15.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","54.0"
"test16.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","59.5"
"test17.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","59.9"
"test18.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","52.8"
"test19.example.test","2026-07-07 06:25:34 UTC","16.26.83.210@853","NOERROR","52.8"
