"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","116.8"
"test0.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","59.7"
"test1.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","53.8"
"test2.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","58.4"
"test3.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","53.1"
"test4.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","59.0"
"test5.example.test","2026-07-07 06:31:58 UTC","16.26.83.210@853","NOERROR","59.0"
"test6.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","60.1"
"test7.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","57.7"
"test8.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","56.5"
"test9.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","58.0"
"test10.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","58.7"
"test11.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","53.8"
"test12.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","54.3"
"test13.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","55.8"
"test14.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","57.1"
"test15.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","58.2"
"test16.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","57.3"
"test17.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","54.2"
"test18.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","55.3"
"test19.example.test","2026-07-07 06:31:59 UTC","16.26.83.210@853","NOERROR","56.5"
