"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","120.8"
"test0.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","55.2"
"test1.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","61.1"
"test2.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","56.6"
"test3.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","57.6"
"test4.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","52.3"
"test5.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","56.9"
"test6.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","53.9"
"test7.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","54.4"
"test8.example.test","2026-07-07 06:05:24 UTC","16.26.83.210@853","NOERROR","55.5"
"test9.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","62.3"
"test10.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","55.5"
"test11.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","58.0"
"test12.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","56.7"
"test13.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","55.7"
"test14.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","60.1"
"test15.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","57.8"
"test16.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","57.5"
"test17.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","58.7"
"test18.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","55.3"
"test19.example.test","2026-07-07 06:05:25 UTC","16.26.83.210@853","NOERROR","55.6"
