"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","121.8"
"test0.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","52.0"
"test1.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","57.1"
"test2.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","53.0"
"test3.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","53.5"
"test4.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","60.8"
"test5.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","56.6"
"test6.example.test","2026-07-07 06:14:41 UTC","16.26.83.210@853","NOERROR","57.6"
"test7.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","54.0"
"test8.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","56.3"
"test9.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","54.7"
"test10.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","60.9"
"test11.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","55.8"
"test12.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","53.8"
"test13.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","54.7"
"test14.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","55.7"
"test15.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","52.8"
"test16.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","55.1"
"test17.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","54.6"
"test18.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","56.6"
"test19.example.test","2026-07-07 06:14:42 UTC","16.26.83.210@853","NOERROR","52.9"
