"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 05:18:38 UTC","16.26.83.210@8853","NOERROR","155.0"
"test0.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","86.0"
"test1.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","81.0"
"test2.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","83.9"
"test3.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","84.7"
"test4.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","74.3"
"test5.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","76.5"
"test6.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","79.2"
"test7.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","82.3"
"test8.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","90.4"
"test9.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","84.4"
"test10.example.test","2026-07-07 05:18:39 UTC","16.26.83.210@8853","NOERROR","80.3"
"test11.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","78.5"
"test12.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","80.8"
"test13.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","88.1"
"test14.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","77.9"
"test15.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","79.8"
"test16.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","74.8"
"test17.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","79.2"
"test18.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","85.6"
"test19.example.test","2026-07-07 05:18:40 UTC","16.26.83.210@8853","NOERROR","78.0"
