"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:43:26 UTC","16.26.83.210@8853","NOERROR","165.1"
"test0.example.test","2026-07-07 04:43:26 UTC","16.26.83.210@8853","NOERROR","92.7"
"test1.example.test","2026-07-07 04:43:26 UTC","16.26.83.210@8853","NOERROR","84.8"
"test2.example.test","2026-07-07 04:43:26 UTC","16.26.83.210@8853","NOERROR","82.6"
"test3.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","81.9"
"test4.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","84.2"
"test5.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","83.1"
"test6.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","82.7"
"test7.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","84.0"
"test8.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","88.3"
"test9.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","81.2"
"test10.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","88.9"
"test11.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","78.8"
"test12.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","81.2"
"test13.example.test","2026-07-07 04:43:27 UTC","16.26.83.210@8853","NOERROR","84.3"
"test14.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","75.1"
"test15.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","81.1"
"test16.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","84.2"
"test17.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","87.2"
"test18.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","78.8"
"test19.example.test","2026-07-07 04:43:28 UTC","16.26.83.210@8853","NOERROR","85.0"
