"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","159.9"
"test0.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","74.8"
"test1.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","85.3"
"test2.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","74.6"
"test3.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","79.5"
"test4.example.test","2026-07-07 06:29:39 UTC","16.26.83.210@8853","NOERROR","78.2"
"test5.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","75.7"
"test6.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","78.6"
"test7.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","84.0"
"test8.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","79.2"
"test9.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","78.5"
"test10.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","78.9"
"test11.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","75.8"
"test12.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","81.8"
"test13.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","78.9"
"test14.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","83.0"
"test15.example.test","2026-07-07 06:29:40 UTC","16.26.83.210@8853","NOERROR","81.2"
"test16.example.test","2026-07-07 06:29:41 UTC","16.26.83.210@8853","NOERROR","77.7"
"test17.example.test","2026-07-07 06:29:41 UTC","16.26.83.210@8853","NOERROR","74.3"
"test18.example.test","2026-07-07 06:29:41 UTC","16.26.83.210@8853","NOERROR","81.2"
"test19.example.test","2026-07-07 06:29:41 UTC","16.26.83.210@8853","NOERROR","81.3"
