"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:07:15 UTC","16.26.83.210@8853","NOERROR","154.2"
"test0.example.test","2026-07-07 06:07:15 UTC","16.26.83.210@8853","NOERROR","78.3"
"test1.example.test","2026-07-07 06:07:15 UTC","16.26.83.210@8853","NOERROR","81.4"
"test2.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","75.9"
"test3.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","76.3"
"test4.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","76.3"
"test5.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","78.4"
"test6.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","80.8"
"test7.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","79.4"
"test8.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","77.0"
"test9.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","80.8"
"test10.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","80.8"
"test11.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","79.4"
"test12.example.test","2026-07-07 06:07:16 UTC","16.26.83.210@8853","NOERROR","85.9"
"test13.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","76.1"
"test14.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","75.5"
"test15.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","75.6"
"test16.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","74.5"
"test17.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","83.4"
"test18.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","81.1"
"test19.example.test","2026-07-07 06:07:17 UTC","16.26.83.210@8853","NOERROR","77.9"
