"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 06:16:38 UTC","16.26.83.210@8853","NOERROR","153.9"
"test0.example.test","2026-07-07 06:16:38 UTC","16.26.83.210@8853","NOERROR","87.4"
"test1.example.test","2026-07-07 06:16:38 UTC","16.26.83.210@8853","NOERROR","85.4"
"test2.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","77.9"
"test3.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","78.7"
"test4.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","79.5"
"test5.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","86.9"
"test6.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","77.1"
"test7.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","79.5"
"test8.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","80.7"
"test9.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","82.2"
"test10.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","84.1"
"test11.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","82.3"
"test12.example.test","2026-07-07 06:16:39 UTC","16.26.83.210@8853","NOERROR","84.0"
"test13.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","79.7"
"test14.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","85.6"
"test15.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","80.6"
"test16.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","72.5"
"test17.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","75.6"
"test18.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","82.3"
"test19.example.test","2026-07-07 06:16:40 UTC","16.26.83.210@8853","NOERROR","80.4"
