"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:56:54 UTC","16.26.83.210@53","NOERROR","100.3"
"test0.example.test","2026-07-07 04:56:54 UTC","16.26.83.210@53","NOERROR","51.2"
"test1.example.test","2026-07-07 04:56:54 UTC","16.26.83.210@53","NOERROR","55.3"
"test2.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","57.9"
"test3.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","51.4"
"test4.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","51.9"
"test5.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","50.1"
"test6.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","55.9"
"test7.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","60.4"
"test8.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","57.3"
"test9.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","54.5"
"test10.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","54.3"
"test11.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","51.3"
"test12.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","50.9"
"test13.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","54.7"
"test14.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","54.7"
"test15.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","58.3"
"test16.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","55.3"
"test17.example.test","2026-07-07 04:56:55 UTC","16.26.83.210@53","NOERROR","51.1"
"test18.example.test","2026-07-07 04:56:56 UTC","16.26.83.210@53","NOERROR","51.2"
"test19.example.test","2026-07-07 04:56:56 UTC","16.26.83.210@53","NOERROR","50.3"
