"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:37:21 UTC","16.26.83.210@53","NOERROR","104.0"
"test0.example.test","2026-07-07 04:37:21 UTC","16.26.83.210@53","NOERROR","58.0"
"test1.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","58.4"
"test2.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","54.6"
"test3.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","51.4"
"test4.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","52.4"
"test5.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","52.1"
"test6.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","53.4"
"test7.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","52.3"
"test8.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","53.4"
"test9.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","50.8"
"test10.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","56.7"
"test11.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","52.3"
"test12.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","51.1"
"test13.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","56.8"
"test14.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","57.0"
"test15.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","54.4"
"test16.example.test","2026-07-07 04:37:22 UTC","16.26.83.210@53","NOERROR","55.8"
"test17.example.test","2026-07-07 04:37:23 UTC","16.26.83.210@53","NOERROR","52.9"
"test18.example.test","2026-07-07 04:37:23 UTC","16.26.83.210@53","NOERROR","57.6"
"test19.example.test","2026-07-07 04:37:23 UTC","16.26.83.210@53","NOERROR","58.8"
