"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","75.8"
"test0.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","57.4"
"test1.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","50.0"
"test2.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","56.5"
"test3.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","52.9"
"test4.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","52.0"
"test5.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","52.1"
"test6.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","50.1"
"test7.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","53.7"
"test8.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","55.4"
"test9.example.test","2026-07-07 04:10:27 UTC","16.26.83.210@53","NOERROR","53.6"
"test10.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","53.6"
"test11.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","51.2"
"test12.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","51.1"
"test13.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","52.8"
"test14.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","52.5"
"test15.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","53.9"
"test16.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","50.1"
"test17.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","49.8"
"test18.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","48.4"
"test19.example.test","2026-07-07 04:10:28 UTC","16.26.83.210@53","NOERROR","55.9"
