"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:46:01 UTC","16.26.83.210@53","NOERROR","74.8"
"test0.example.test","2026-07-07 04:46:01 UTC","16.26.83.210@53","NOERROR","51.6"
"test1.example.test","2026-07-07 04:46:01 UTC","16.26.83.210@53","NOERROR","51.1"
"test2.example.test","2026-07-07 04:46:01 UTC","16.26.83.210@53","NOERROR","58.8"
"test3.example.test","2026-07-07 04:46:01 UTC","16.26.83.210@53","NOERROR","56.7"
"test4.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","57.0"
"test5.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","58.3"
"test6.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","53.7"
"test7.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","50.3"
"test8.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","53.4"
"test9.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","54.6"
"test10.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","58.3"
"test11.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","54.4"
"test12.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","55.5"
"test13.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","55.7"
"test14.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","50.7"
"test15.example.test","2026-07-07 04:46:02 UTC","16.26.83.210@53","NOERROR","53.6"
"test16.example.test","2026-07-07 04:46:03 UTC","16.26.83.210@53","NOERROR","55.3"
"test17.example.test","2026-07-07 04:46:03 UTC","16.26.83.210@53","NOERROR","53.8"
"test18.example.test","2026-07-07 04:46:03 UTC","16.26.83.210@53","NOERROR","54.2"
"test19.example.test","2026-07-07 04:46:03 UTC","16.26.83.210@53","NOERROR","53.5"
