"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","103.1"
"test0.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","31.3"
"test1.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","27.7"
"test2.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","27.2"
"test3.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","28.1"
"test4.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","30.1"
"test5.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","30.5"
"test6.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","26.4"
"test7.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","26.8"
"test8.example.test","2026-07-17 04:19:16 UTC","16.26.83.52@53","NOERROR","29.5"
"test9.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","27.8"
"test10.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","28.6"
"test11.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","30.9"
"test12.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","32.3"
"test13.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","27.8"
"test14.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","28.3"
"test15.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","29.1"
"test16.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","29.0"
"test17.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","28.8"
"test18.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","28.9"
"test19.example.test","2026-07-17 04:19:17 UTC","16.26.83.52@53","NOERROR","27.2"
