"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","39.3"
"test0.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","42.1"
"test1.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","41.8"
"test2.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","42.0"
"test3.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","39.7"
"test4.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","39.1"
"test5.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","38.7"
"test6.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","40.5"
"test7.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","40.0"
"test8.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","41.6"
"test9.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","42.2"
"test10.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","42.1"
"test11.example.test","2026-07-17 01:11:27 UTC","16.26.83.52@53","NOERROR","39.7"
"test12.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","45.6"
"test13.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","38.1"
"test14.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","43.3"
"test15.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","43.7"
"test16.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","38.3"
"test17.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","42.0"
"test18.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","40.4"
"test19.example.test","2026-07-17 01:11:28 UTC","16.26.83.52@53","NOERROR","41.2"
