"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 04:23:07 UTC","16.26.83.52@53","NOERROR","222.7"
"test0.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","57.4"
"test1.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","58.9"
"test2.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","58.8"
"test3.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","56.7"
"test4.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","52.0"
"test5.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","58.5"
"test6.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","59.0"
"test7.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","53.6"
"test8.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","57.2"
"test9.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","57.2"
"test10.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","56.4"
"test11.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","50.9"
"test12.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","54.0"
"test13.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","55.7"
"test14.example.test","2026-07-17 04:23:08 UTC","16.26.83.52@53","NOERROR","56.5"
"test15.example.test","2026-07-17 04:23:09 UTC","16.26.83.52@53","NOERROR","56.2"
"test16.example.test","2026-07-17 04:23:09 UTC","16.26.83.52@53","NOERROR","51.9"
"test17.example.test","2026-07-17 04:23:09 UTC","16.26.83.52@53","NOERROR","51.1"
"test18.example.test","2026-07-17 04:23:09 UTC","16.26.83.52@53","NOERROR","55.7"
"test19.example.test","2026-07-17 04:23:09 UTC","16.26.83.52@53","NOERROR","62.2"
