"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","65.8"
"test0.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","65.4"
"test1.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","68.5"
"test2.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","65.8"
"test3.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","71.8"
"test4.example.test","2026-07-17 01:19:34 UTC","16.26.83.52@53","NOERROR","66.4"
"test5.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","73.2"
"test6.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","69.2"
"test7.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","68.1"
"test8.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","67.5"
"test9.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","69.3"
"test10.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","65.0"
"test11.example.test","2026-07-17 01:19:35 UTC","16.26.83.52@53","NOERROR","68.8"
"test12.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","67.3"
"test13.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","76.0"
"test14.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","73.2"
"test15.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","71.9"
"test16.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","74.0"
"test17.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","65.8"
"test18.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","62.5"
"test19.example.test","2026-07-17 01:19:36 UTC","16.26.83.52@53","NOERROR","63.1"
