"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","137.1"
"test0.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","53.2"
"test1.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","57.2"
"test2.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","54.1"
"test3.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","55.6"
"test4.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","53.9"
"test5.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","60.5"
"test6.example.test","2026-07-17 04:24:04 UTC","16.26.83.52@53","NOERROR","55.3"
"test7.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","62.3"
"test8.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","54.0"
"test9.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","49.4"
"test10.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","51.4"
"test11.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","50.4"
"test12.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","55.6"
"test13.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","50.8"
"test14.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","53.4"
"test15.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","55.6"
"test16.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","55.4"
"test17.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","58.1"
"test18.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","52.1"
"test19.example.test","2026-07-17 04:24:05 UTC","16.26.83.52@53","NOERROR","53.1"
