"Domain","Timestamp","Resolver","Status","Query Time"
"test.mldsa44-SYDNEY.test","2026-08-06 07:48:32 UTC","16.51.167.219@53","SERVFAIL","82.4"
"test0.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.5"
"test1.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","51.0"
"test2.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.1"
"test3.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","52.9"
"test4.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test5.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.2"
"test6.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.7"
"test7.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.0"
"test8.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","52.2"
"test9.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","49.3"
"test10.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.8"
"test11.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test12.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","50.4"
"test13.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test14.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","51.8"
"test15.mldsa44-SYDNEY.test","2026-08-06 07:48:33 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test16.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","52.2"
"test17.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.1"
"test18.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","52.6"
"test19.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test20.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.0"
"test21.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","56.7"
"test22.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test23.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","54.4"
"test24.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.4"
"test25.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.5"
"test26.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test27.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.6"
"test28.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","53.3"
"test29.mldsa44-SYDNEY.test","2026-08-06 07:48:34 UTC","16.51.167.219@53","SERVFAIL","51.0"
