"Domain","Timestamp","Resolver","Status","Query Time"
"test.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","82.1"
"test0.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test1.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","54.0"
"test2.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","56.8"
"test3.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","56.0"
"test4.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","55.6"
"test5.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","54.8"
"test6.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","55.6"
"test7.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","52.2"
"test8.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","52.7"
"test9.falcon512-SYDNEY.test","2026-08-06 07:33:55 UTC","16.51.167.219@53","SERVFAIL","53.2"
"test10.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","56.4"
"test11.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","51.8"
"test12.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","52.9"
"test13.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","53.2"
"test14.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test15.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test16.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test17.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","51.3"
"test18.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test19.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test20.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","51.5"
"test21.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test22.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","51.3"
"test23.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test24.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","56.8"
"test25.falcon512-SYDNEY.test","2026-08-06 07:33:56 UTC","16.51.167.219@53","SERVFAIL","55.1"
"test26.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test27.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test28.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","52.0"
"test29.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.2"
"test30.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test31.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test32.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test33.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test34.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","51.7"
"test35.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","54.4"
"test36.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.9"
"test37.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.9"
"test38.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test39.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","56.2"
"test40.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test41.falcon512-SYDNEY.test","2026-08-06 07:33:57 UTC","16.51.167.219@53","SERVFAIL","51.3"
"test42.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","51.2"
"test43.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","56.3"
"test44.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","51.1"
"test45.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","54.4"
"test46.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","50.7"
"test47.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","52.8"
"test48.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","51.2"
"test49.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","57.3"
"test50.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","50.9"
"test51.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","52.8"
"test52.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test53.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","54.9"
"test54.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","55.3"
"test55.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","54.3"
"test56.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","55.5"
"test57.falcon512-SYDNEY.test","2026-08-06 07:33:58 UTC","16.51.167.219@53","SERVFAIL","54.7"
"test58.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","51.5"
"test59.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","53.2"
"test60.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","55.2"
"test61.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test62.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","51.0"
"test63.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","57.0"
"test64.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","54.6"
"test65.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","54.8"
"test66.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test67.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test68.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","53.4"
"test69.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","54.4"
"test70.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","55.8"
"test71.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","55.0"
"test72.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","55.3"
"test73.falcon512-SYDNEY.test","2026-08-06 07:33:59 UTC","16.51.167.219@53","SERVFAIL","70.2"
"test74.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test75.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","54.0"
"test76.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","53.8"
"test77.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","51.4"
"test78.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","51.6"
"test79.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","53.6"
"test80.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test81.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","51.8"
"test82.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","56.5"
"test83.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","53.8"
"test84.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","50.6"
"test85.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","53.5"
"test86.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","55.4"
"test87.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","55.5"
"test88.falcon512-SYDNEY.test","2026-08-06 07:34:00 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test89.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","52.7"
"test90.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","53.8"
"test91.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","51.2"
"test92.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test93.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","52.8"
"test94.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","51.6"
"test95.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test96.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","53.0"
"test97.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","54.8"
"test98.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","50.6"
"test99.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","54.4"
"test100.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","57.1"
"test101.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","52.6"
"test102.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","50.7"
"test103.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","50.5"
"test104.falcon512-SYDNEY.test","2026-08-06 07:34:01 UTC","16.51.167.219@53","SERVFAIL","54.1"
"test105.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","56.0"
"test106.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.9"
"test107.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test108.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","55.9"
"test109.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","54.8"
"test110.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","54.5"
"test111.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","53.3"
"test112.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.9"
"test113.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test114.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test115.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","51.9"
"test116.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test117.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.4"
"test118.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test119.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","51.3"
"test120.falcon512-SYDNEY.test","2026-08-06 07:34:02 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test121.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","54.9"
"test122.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.7"
"test123.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.8"
"test124.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","56.2"
"test125.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","53.9"
"test126.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test127.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","57.3"
"test128.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","53.0"
"test129.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","54.2"
"test130.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.5"
"test131.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test132.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","54.6"
"test133.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","53.9"
"test134.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","52.7"
"test135.falcon512-SYDNEY.test","2026-08-06 07:34:03 UTC","16.51.167.219@53","SERVFAIL","55.4"
