"Domain","Timestamp","Resolver","Status","Query Time"
"test.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","78.5"
"test0.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","56.6"
"test1.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","53.0"
"test2.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","55.7"
"test3.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","52.3"
"test4.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","54.5"
"test5.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","53.7"
"test6.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","56.9"
"test7.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","55.3"
"test8.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","53.7"
"test9.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","54.9"
"test10.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test11.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","58.4"
"test12.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","51.4"
"test13.p256-falcon512-SYDNEY.test","2026-08-06 07:29:29 UTC","16.51.167.219@53","SERVFAIL","55.8"
"test14.p256-falcon512-SYDNEY.test","2026-08-06 07:29:30 UTC","16.51.167.219@53","SERVFAIL","52.1"
"test15.p256-falcon512-SYDNEY.test","2026-08-06 07:29:30 UTC","16.51.167.219@53","SERVFAIL","55.5"
"test16.p256-falcon512-SYDNEY.test","2026-08-06 07:29:30 UTC","16.51.167.219@53","SERVFAIL","55.4"
